# platform=debian kernel=linux host=lg1 device=rpi2 sample_rate=48000
frame,samples,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
172,1024,16.119,7.608,8.511,0.007,0.060,0.638,0.336,7.468,46.9,48031.9,1024.0,42.1,47698.7,1132.0
173,1024,22.505,14.129,8.376,0.011,0.064,0.123,0.418,7.750,46.9,48031.9,1024.0,42.1,47698.7,1132.0
174,1024,19.181,1.534,17.647,0.008,8.131,1.167,0.689,7.649,46.9,48031.9,1024.0,42.1,47698.7,1132.0
175,2048,36.143,22.802,13.341,0.017,0.239,4.814,0.688,7.578,46.9,48031.9,1024.0,42.1,47698.7,1132.0
176,1024,24.930,14.134,10.796,0.011,0.187,2.503,0.356,7.730,46.9,48031.9,1024.0,42.1,47698.7,1132.0
177,1024,14.138,3.955,10.183,0.007,0.134,2.009,0.336,7.694,46.9,48031.9,1024.0,42.1,47698.7,1132.0
178,1024,23.207,12.960,10.247,0.010,0.186,1.904,0.352,7.785,46.9,48031.9,1024.0,42.1,47698.7,1132.0
179,1024,10.782,2.216,8.566,0.007,0.138,0.162,0.338,7.917,46.9,48031.9,1024.0,42.1,47698.7,1132.0
180,1024,18.781,10.098,8.683,0.011,0.191,0.098,0.373,8.001,46.9,48031.9,1024.0,42.1,47698.7,1132.0
181,1024,27.761,16.976,10.785,0.010,0.692,1.205,0.849,8.018,46.9,48031.9,1024.0,42.1,47698.7,1132.0
182,1024,20.588,10.279,10.309,0.009,0.203,1.646,0.356,8.088,46.9,48031.9,1024.0,42.1,47698.7,1132.0
183,1024,31.748,21.247,10.501,0.011,0.181,1.847,0.358,8.093,46.9,48031.9,1024.0,42.1,47698.7,1132.0
184,1024,20.091,9.461,10.630,0.008,0.146,2.063,0.336,8.073,46.9,48031.9,1024.0,42.1,47698.7,1132.0
185,1024,31.029,20.213,10.816,0.011,0.200,2.065,0.356,8.176,46.9,48031.9,1024.0,42.1,47698.7,1132.0
